artist_id,ME,Pred
91253392a81a2276a3098790cbdd87f8,196.343181943,197.889252926
9164f49f07157c2528ef4de920b9fb05,295.585220175,288.698430818
91af1118883651c020074ce8524a5813,108.464892462,108.464892462
92b57b5b5ad06e8cb5e152680601d697,936.651694379,979.386948597
92f996e600c329164592777e866f376b,462.690914587,473.209801447
9313bae9aef4e389bcae1d11b0e574c7,714.296627985,757.892819814
93ecb976bd21dcc6d4174b5b79cd6067,212.700867276,213.744242196
9602084ffec67fe31c60406f7fb21331,715.730130854,715.730130854
9a4d4473693a5e5f068562fd3aed40f4,236.412999663,237.533622907
a06a495b2962b3ee878ec731eace40d6,190.29625959,190.29625959
a5eada19f77ccc52667238ca96480e21,371.883017328,362.962396054
a65476c9b1567a215169589bc67157ea,552.634785847,539.63409246
a68c4e6ed4a6d1b46311c8d6c444894f,249.217971396,250.072596311
a6db766f12f0abbd2d72e43020238c91,103.22747981,103.670408851
a828783200da109b9208d1e6e2326647,652.357385344,652.357385344
a9bac1f3f8265955bbf60516d82df902,325.795921602,339.152422952
ad5f86668f8bb379f9fb86f7a269e9d1,243.714266223,263.100929086
ad8759a9b052528e79835f102592f622,907.409041485,913.397921131
af50023d1ac6014f198d21bf61fa3056,276.346466741,244.087541131
b26955262273f5cc9a276f792e51efe0,597.654237802,740.635123823
b2ba9d8e532d1fca8fbd99fe65f538bd,361.758709772,515.71235042
b4ee522ed7a5a6031b621f0b71fd4cb1,308.460199935,306.942195086
b549a3421c0d1d99af2fc48931f57456,400.61405683,402.401465413
b56689f01bc9febd785aba53ac37a14f,958.807945204,960.580809813
b5e874ab271eec2ec6eb48da94449767,506.093243394,506.781589305
b840437a697cf62e51969a6ce8135d9b,1564.83940676,1564.83940676
be0c7a23c2aa9afb45163995b9ec938c,527.604191554,551.677381969
c086f93a1d0fc02d7386e79dceae9d7a,639.985967201,639.985967201
c0c28c3626073560ca763eb1ec60d9c0,562.024030546,738.934309927
c18b04c7283ac3ece0a1eb6e614e6605,17.0871962671,511.654925032
c327317f5a72a8b2b7d41dec1bb24846,991.679659436,982.720111321
c4470d30722cefad66cdbe5a5d9f48a1,566.457713626,615.999910536
c449ce9a18153c8653fb971ab87cc297,338.134994911,337.645206936
c49c31c98966680f6b03308e9476dc18,216.995415826,220.131865063
c50f3aa09001ed84ae251200a4b4e944,240.362567804,245.810407645
c640bdc95b777e4ef1c13cad922395de,449.445486238,443.561858522
cb2fed62858e767c9d6b9bf36d5b9bc5,225.939224966,221.698991389
cc3f783fd6b343febbeb34587ce107fa,305.341768078,309.844057016
ccbeba76370bdca703b617cd5a6fcdc9,550.976394985,559.0428055
cdf36e58742f023020e6ae0e67d60dcc,667.983259443,667.983259443
cf8adb2012a78ee6d49528befd90bc79,2084.76317198,2099.43095737
d16345cdc87d46279cf658c3f1146b84,190.20198119,189.765546371
d28d375b3e482dd51aeccee67b60a272,1806.96302182,1841.95057201
d599e1e35a01b7217541f4a1ebb49bd0,424.284849851,418.240471501
d6583ed54536fecf80dcc3b020a42ebc,916.823949271,917.632794449
d6f6d7b9c8325db3f0bd3640e02fe080,123.121622081,123.121622081
d78e96cd41b7070f6c4aaad8482427ea,546.494592541,545.163772465
d8b4a0c9469066f7310dc66ddf3610c7,510.032487955,544.6500875
d8d0b093ffbb4435d4d4d1fbc8ed80c0,293.491618182,293.491618182
dc3326ca8cd0a838f0ba75bf1318d6b1,399.755868641,383.805990603
dc411686117b41aa2ea670b0a12f143f,217.45363556,217.45363556
dd5e267c2da70e9a68ecde2edd0083c5,1682.63853903,1624.16535314
ded7c8c6f293b610fc985236be3858d4,1208.26007153,1208.26007153
dfe3eb8689c65fee3fd2667a24a86d3b,753.839829958,753.839829958
e087f8842fe66efa5ccee42ff791e0ca,170.539542673,197.972638469
e11b44d7fc2b289e9053cb212d17f0b4,418.750855176,381.482053663
e191022849cb97cc54e4ed6c444499c5,218.443671061,214.878532765
